product_id,name,category,subcategory,gender,price,colors,styles,fit,occasions,image_url,brand,delivery_days
P001,DKNY Unisex Black & Grey Printed Medium Trolley Bag,bag,bag,Unisex,11745,"['black', 'grey']",['casual'],,"['casual', 'college', 'travel']",http://assets.myntassets.com/assets/images/10017413/2020/3/6/0896e133-7c7c-4bca-a6a9-e58de74515211583495685498DKNYUnisexBlackGreyPrintedMediumTrolleyBag1.jpg,DKNY,4
P002,EthnoVogue Women Beige & Grey Made to Measure Custom Made Kurta Set with Jacket,outerwear,jacket,Women,5810,"['beige', 'grey']","['ethnic', 'partywear', 'minimalist']",regular,"['casual', 'date', 'farewell', 'festival', 'office', 'party', 'wedding']",http://assets.myntassets.com/assets/images/10016283/2019/8/7/1cf85cd3-a7c5-47fe-b30d-31ec3c10f4411565173618884-Bollywood-Vogue-Customised-Off-White-Anarkali-Suit-215156517-1.jpg,EthnoVogue,6
P003,SPYKAR Women Pink Alexa Super Skinny Fit High-Rise Clean Look Stretchable Cropped Jeans,bottom,jeans,Women,899,['pink'],['minimalist'],slim,"['casual', 'office']",http://assets.myntassets.com/assets/images/10009781/2019/7/3/c846fefd-0755-4252-8caa-b98ae6a640721562153821364-SPYKAR-Women-Pink-Super-Skinny-Fit-High-Rise-Clean-Look-Stre-1.jpg,SPYKAR,2
P004,Parx Men Brown & Off-White Slim Fit Printed Casual Shirt,top,shirt,Men,759,"['brown', 'white']",['casual'],slim,"['casual', 'college', 'travel']",http://assets.myntassets.com/assets/images/productimage/2019/6/13/64a02de5-be6e-4749-8cf8-4a5690da9ccd1560405868743-1.jpg,Parx,4
P005,SHOWOFF Men Brown Solid Slim Fit Regular Shorts,bottom,shorts,Men,791,['brown'],['minimalist'],slim,"['casual', 'office']",http://assets.myntassets.com/assets/images/productimage/2019/6/13/6d9cbad7-0743-4b42-9899-49f807887eb11560423363349-1.jpg,SHOWOFF,2
P006,Parx Men Blue Slim Fit Checked Casual Shirt,top,shirt,Men,719,['blue'],['casual'],slim,"['casual', 'college', 'travel']",http://assets.myntassets.com/assets/images/productimage/2019/6/12/3890d252-3e9b-4f74-9681-4bdafb29f7261560332277959-1.jpg,Parx,4
P007,SPYKAR Women Burgundy Alexa Super Skinny Fit High-Rise Clean Look Stretchable Ankle Jeans,bottom,jeans,Women,899,['multicolor'],['minimalist'],slim,"['casual', 'office']",http://assets.myntassets.com/assets/images/10009695/2019/7/3/b4eac087-58cb-4b1f-91b7-bd0e56c6e1701562148015751-SPYKAR-Women-Maroon-Super-Skinny-Fit-High-Rise-Clean-Look-St-1.jpg,SPYKAR,3
P008,Parx Men Brown Tapered Fit Solid Regular Trousers,bottom,trousers,Men,664,['brown'],['minimalist'],regular,"['casual', 'office']",http://assets.myntassets.com/assets/images/productimage/2019/6/12/925f5115-c40c-4177-bc63-98b0b7f9f42e1560301313659-1.jpg,Parx,6
P009,DKNY Unisex Black Large Trolley Bag,bag,bag,Unisex,17360,['black'],['minimalist'],,"['casual', 'office']",http://assets.myntassets.com/assets/images/productimage/2019/6/13/5e632897-0070-43bb-8392-53e53ef440a61560450221571-1.jpg,DKNY,4
P010,Kenneth Cole Women Navy Blue Solid Backpack,bag,backpack,Women,2463,"['blue', 'navy']",['minimalist'],,"['casual', 'office']",http://assets.myntassets.com/assets/images/productimage/2019/6/12/703f6efc-bb21-4f47-ab11-68f01cae1be91560295984824-1.jpg,Kenneth Cole,5
P011,Parx Men Green Printed Polo Collar T-shirt,top,t-shirt,Men,629,['green'],['casual'],regular,"['casual', 'college', 'travel']",http://assets.myntassets.com/assets/images/productimage/2019/6/12/5a7909f8-30b3-4ade-bd8c-e1719a64fa581560302137879-1.jpg,Parx,6
P012,Vishudh Women Maroon Printed Kurta with Palazzos,top,kurta,Women,892,['maroon'],['ethnic'],regular,"['festival', 'wedding']",http://assets.myntassets.com/assets/images/productimage/2019/6/13/1ce40c79-d376-44bf-bc6e-37fd418dc0d31560423441364-1.jpg,Vishudh,2
P013,Parx Men Red Slim Fit Checked Casual Shirt,top,shirt,Men,752,['red'],['casual'],slim,"['casual', 'college', 'travel']",http://assets.myntassets.com/assets/images/productimage/2019/6/12/e7f70b63-c183-445c-8040-8aafc8c3c36b1560332025424-1.jpg,Parx,4
P014,Being Human Clothing Navy Printed Casual Slim Shirt,top,shirt,Men,1079,['navy'],['casual'],slim,"['casual', 'college', 'travel']",http://assets.myntassets.com/assets/images/1000795/2017/7/11/11499768346945-Being-Human-Clothing-Navy-Printed-Casual-Slim-Shirt-61499768346589-1.jpg,Being Human,7
P015,YAK YAK Men Camel Brown Solid Polo Collar T-shirt,top,t-shirt,Men,599,['brown'],['minimalist'],regular,"['casual', 'office']",http://assets.myntassets.com/assets/images/productimage/2019/6/12/313d22f2-c2db-48c9-9dee-ae94543ae4c11560323668556-1.jpg,YAK YAK,5
P016,HIGHLANDER Men Mustard & Black Slim Fit Checked Casual Shirt,top,shirt,Men,699,"['black', 'mustard']",['casual'],slim,"['casual', 'college', 'travel']",http://assets.myntassets.com/assets/images/productimage/2019/6/13/745a9315-1214-40af-b0e5-9042640c566f1560406690433-1.jpg,HIGHLANDER,5
P017,SPYKAR Women Blue Adora Skinny Fit Mid-Rise Clean Look Stretchable Ankle Jeans,bottom,jeans,Women,1199,['blue'],['minimalist'],slim,"['casual', 'office']",http://assets.myntassets.com/assets/images/10009723/2019/7/4/8156a265-8d11-4f91-b571-2ad632eb584f1562241896870-SPYKAR-Women-Blue-Skinny-Fit-Mid-Rise-Clean-Look-Stretchable-1.jpg,SPYKAR,7
P018,ID Men Tan Brown Fisherman Leather Sandals,footwear,sandals,Men,2385,['brown'],['casual'],,"['casual', 'college', 'travel']",http://assets.myntassets.com/assets/images/productimage/2019/6/13/53d5d201-4a9c-43e0-826a-d9c2b9dc57ff1560372342955-1.jpg,ID,7
P019,Raymond Men Blue Slim Fit Printed Formal Shirt,top,shirt,Men,1079,['blue'],['formal'],slim,"['business', 'interview', 'office']",http://assets.myntassets.com/assets/images/productimage/2019/6/13/09865ab2-509d-4f44-a414-90643f9a102b1560377475918-1.jpg,Raymond,6
P020,Gini and Jony Boys Navy Blue Regular Fit Solid Casual Shirt,top,shirt,Boys,699,"['blue', 'navy']","['minimalist', 'casual']",regular,"['casual', 'college', 'office', 'travel']",http://assets.myntassets.com/assets/images/10003123/2019/6/17/254768bb-664c-4f82-aa13-13a6f8c151731560763667506-Gini-and-Jony-Boys-Navy-Blue-Regular-Fit-Solid-Casual-Shirt--1.jpg,Gini and Jony,3
P021,Sera Women Blue Printed Kurta with Palazzos,top,kurta,Women,1437,['blue'],"['ethnic', 'minimalist']",regular,"['casual', 'festival', 'office', 'wedding']",http://assets.myntassets.com/assets/images/productimage/2019/6/12/22e021a3-7212-4394-9e63-3a7889cd94061560333346332-1.jpg,Sera,4
P022,Parx Men Blue Slim Fit Printed Casual Shirt,top,shirt,Men,779,['blue'],['casual'],slim,"['casual', 'college', 'travel']",http://assets.myntassets.com/assets/images/productimage/2019/6/13/a04ee0f4-e0a4-408c-a573-36beea4c0a451560414935186-1.jpg,Parx,4
P023,Alcis Women Yellow & Blue Colorblocked Tights,bottom,tights,Women,749,"['blue', 'yellow']",['casual'],regular,"['casual', 'college', 'travel']",http://assets.myntassets.com/assets/images/productimage/2019/6/11/ff3f6d68-7fa0-4e67-965c-3eae7a9735731560231660317-1.jpg,Alcis,7
P024,Difference of Opinion Men Navy Blue Solid Round Neck T-shirt With Side Strip Detail,top,t-shirt,Men,499,"['blue', 'navy']",['minimalist'],regular,"['casual', 'office']",http://assets.myntassets.com/assets/images/10005903/2020/2/12/0083a06a-1add-41cc-bc2e-d15d52d4ea4c1581508463267-Difference-of-Opinion-Men-Navy-Blue-Solid-Round-Neck-T-shirt-1.jpg,Difference of Opinion,7
P025,Tokyo Talkies Women Off-White & Pink Floral Print Fit and Flare Dress,dress,dress,Women,499,"['pink', 'white']",['casual'],regular,"['casual', 'college', 'travel']",http://assets.myntassets.com/assets/images/productimage/2019/6/12/016671aa-1f0d-4606-972a-81c8a47cec7c1560361299556-1.jpg,Tokyo Talkies,2
P026,HIGHLANDER Men Navy Blue & Maroon Slim Fit Checked Casual Shirt,top,shirt,Men,699,"['blue', 'maroon', 'navy']",['casual'],slim,"['casual', 'college', 'travel']",http://assets.myntassets.com/assets/images/productimage/2019/6/13/2e05fa13-3da3-4be6-8238-f6a6dbcc7c301560409954988-1.jpg,HIGHLANDER,5
P027,her by invictus Women Brown Solid Cushioned Mules,footwear,mules,Women,1044,['brown'],['minimalist'],,"['casual', 'office']",http://assets.myntassets.com/assets/images/10007705/2019/9/3/869e37eb-2c3e-429f-b4a2-8f2ffcfe0f081567513656489-her-by-invictus-Women-Brown-Solid-Mojaris-4111567513655328-1.jpg,her by invictus,5
P028,ID Men Beige Leather Derbys,footwear,derbys,Men,2685,['beige'],['casual'],,"['casual', 'college', 'travel']",http://assets.myntassets.com/assets/images/10006041/2020/2/28/a8c79af4-2b8d-4051-b3b3-8bd7f99e4a6c1582883139038-ID-Men-Beige-Leather-Derbys-2021582883138186-1.jpg,ID,3
P029,SPYKAR Women Blue Adora Skinny Fit Mid-Rise Low Distress Ankle-length Stretchable Jeans,bottom,jeans,Women,1124,['blue'],['casual'],slim,"['casual', 'college', 'travel']",http://assets.myntassets.com/assets/images/10009621/2019/7/4/8eb7c95c-9687-4f2e-b933-f25ac6fc0d051562218714274-SPYKAR-Women-Blue-Skinny-Fit-Mid-Rise-Clean-Look-Stretchable-1.jpg,SPYKAR,6
P030,SPYKAR Women Blue Adora Skinny Fit Mid-Rise Clean Look Ankle-Length Stretchable Jeans,bottom,jeans,Women,989,['blue'],['minimalist'],slim,"['casual', 'office']",http://assets.myntassets.com/assets/images/10009681/2019/7/4/07edc4d1-ef8c-4ff8-8ea5-657e8ea77a121562218605916-SPYKAR-Women-Blue-Skinny-Fit-Mid-Rise-Clean-Look-Stretchable-1.jpg,SPYKAR,4
P031,Lara Karen Women Black Solid Maxi Satin Skirt,bottom,skirt,Women,1999,['black'],['minimalist'],regular,"['casual', 'office']",http://assets.myntassets.com/assets/images/10001251/2019/11/7/37d94783-88a0-4b13-ba92-d97b441aa35b1573109836634-Black-Tulip-Skirt-3981573109834761-1.jpg,Lara Karen,5
P032,Gini and Jony Girls Yellow Fit and Flare Embellished Dress,dress,dress,Girls,1619,['yellow'],['partywear'],regular,"['date', 'farewell', 'party']",http://assets.myntassets.com/assets/images/10003199/2019/10/12/4be4ee72-b3a7-4b39-88cd-543493428c621570873986229-Gini-and-Jony-Girls-Set-of-2-Yellow-Fit-and-Flare-Embellishe-1.jpg,Gini and Jony,3
P033,Urban Dog Men Grey Solid Regular Fit Sports Shorts,bottom,shorts,Men,399,['grey'],['minimalist'],regular,"['casual', 'office']",http://assets.myntassets.com/assets/images/productimage/2019/6/13/38166af5-c7eb-49bc-aee2-0b00794aaec11560384727233-1.jpg,Urban Dog,6
P034,VASTRAMAY Boys Navy Blue & Maroon Solid Kurta with Dhoti Pants & Jacket,outerwear,jacket,Boys,1469,"['blue', 'maroon', 'navy']","['ethnic', 'minimalist']",regular,"['casual', 'festival', 'office', 'wedding']",http://assets.myntassets.com/assets/images/productimage/2019/6/12/23cbb673-f6b9-4c09-ad66-8bd9e5d84f271560327983230-1.jpg,VASTRAMAY,6
P035,Difference of Opinion Men Grey Melange Printed Round Neck T-shirt,top,t-shirt,Men,499,['grey'],['casual'],regular,"['casual', 'college', 'travel']",http://assets.myntassets.com/assets/images/10005915/2020/2/12/ad44edf3-a694-452d-9d9c-4f6e5fb9be361581508828301-Difference-of-Opinion-Men-Grey-Melange-Printed-Round-Neck-T--1.jpg,Difference of Opinion,4
P036,Campus Sutra Men White & Blue Regular Fit Colourblocked Casual Shirt,top,shirt,Men,479,"['blue', 'white']",['casual'],regular,"['casual', 'college', 'travel']",http://assets.myntassets.com/assets/images/productimage/2019/6/12/64690614-3176-4fb7-9852-08b9cead87f91560312878069-1.jpg,Campus Sutra,4
P037,FIDO DIDO Men White Printed Round Neck T-shirt,top,t-shirt,Men,449,['white'],['casual'],regular,"['casual', 'college', 'travel']",http://assets.myntassets.com/assets/images/productimage/2019/6/13/1868325d-870d-4e2f-bff2-2374969c49b41560388616822-1.jpg,FIDO DIDO,2
P038,Vishudh Women Off-White & Green Floral Print A-Line Dress,dress,dress,Women,1299,"['green', 'white']",['casual'],regular,"['casual', 'college', 'travel']",http://assets.myntassets.com/assets/images/productimage/2019/6/13/4ad97a5f-45e9-49fd-85ae-0279db9ed7971560398300505-1.jpg,Vishudh,3
